Process	CPU	PID	Description	Company Name	Command Line	Start Time
  svchost.exe	< 0.01	12400	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p	01:10:39 p. m. 30/01/2020
  svchost.exe		13984	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	01:10:45 p. m. 30/01/2020
  WmiApSrv.exe	< 0.01	6732	Adaptador de rendimiento inverso de WMI	Microsoft Corporation	C:\Windows\system32\wbem\WmiApSrv.exe	01:13:11 p. m. 30/01/2020
  svchost.exe	< 0.01	4912	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	01:16:21 p. m. 30/01/2020
 lsass.exe	0.12	728	Local Security Authority Process	Microsoft Corporation	C:\Windows\system32\lsass.exe	06:47:23 p. m. 29/01/2020
 fontdrvhost.exe		956				06:47:23 p. m. 29/01/2020
csrss.exe	0.22	2404				12:57:31 p. m. 30/01/2020
winlogon.exe		12760				12:57:31 p. m. 30/01/2020
 dwm.exe	0.60	804				12:57:31 p. m. 30/01/2020
 fontdrvhost.exe		220				12:57:31 p. m. 30/01/2020
explorer.exe	0.07	8588	Explorador de Windows	Microsoft Corporation	C:\Windows\Explorer.EXE	01:08:45 p. m. 30/01/2020
 SecurityHealthSystray.exe		3268	Windows Security notification icon	Microsoft Corporation	"C:\Windows\System32\SecurityHealthSystray.exe" 	01:08:59 p. m. 30/01/2020
 Skd8821.exe		4040	Lenovo Slim USB Keyboard	LITE-ON TECHNOLOGY CORP.	"C:\Program Files\Lenovo\Lenovo Slim USB Keyboard\Skd8821.exe" 	01:09:00 p. m. 30/01/2020
 hAgentTray.exe	0.01	980				01:09:00 p. m. 30/01/2020
 OneDrive.exe		12280	Microsoft OneDrive	Microsoft Corporation	"C:\Users\sdist.ITAM\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background	01:09:01 p. m. 30/01/2020
 chrome.exe	0.04	7356	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" 	01:10:07 p. m. 30/01/2020
  chrome.exe		4408	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=crashpad-handler "--user-data-dir=C:\Users\sdist.ITAM\AppData\Local\Google\Chrome\User Data" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\sdist.ITAM\AppData\Local\Google\Chrome\User Data\Crashpad" "--metrics-dir=C:\Users\sdist.ITAM\AppData\Local\Google\Chrome\User Data" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=79.0.3945.130 --initial-client-data=0xa4,0xa8,0xac,0x9c,0xb0,0x7ffc2976dd08,0x7ffc2976dd18,0x7ffc2976dd28	01:10:07 p. m. 30/01/2020
  chrome.exe		11648	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=watcher --main-thread-id=9712 --on-initialized-event-handle=64 --parent-handle=584 /prefetch:6	01:10:07 p. m. 30/01/2020
  chrome.exe	< 0.01	13320	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=gpu-process --field-trial-handle=1628,3630870343239176824,8464953519534961351,131072 --gpu-preferences=KAAAAAAAAADgAAAwAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAFAAAAEAAAAAAAAAAAAAAABgAAABAAAAAAAAAAAQAAAAUAAAAQAAAAAAAAAAEAAAAGAAAA --service-request-channel-token=9370588216956980386 --mojo-platform-channel-handle=1660 --ignored=" --type=renderer " /prefetch:2	01:10:07 p. m. 30/01/2020
  chrome.exe	0.01	11628	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=utility --field-trial-handle=1628,3630870343239176824,8464953519534961351,131072 --lang=es --service-sandbox-type=network --enable-audio-service-sandbox --service-request-channel-token=8828470367889327750 --mojo-platform-channel-handle=1920 /prefetch:8	01:10:07 p. m. 30/01/2020
  software_reporter_tool.exe	17.10	11764	Software Reporter Tool	Google	"C:\Users\sdist.ITAM\AppData\Local\Google\Chrome\User Data\SwReporter\77.227.200\software_reporter_tool.exe" --engine=2 --scan-locations=1,2,3,4,5,6,7,8,10 --disabled-locations=9,11 --session-id=tdJ9TYz/sNsc4G4IaVx70+CyaFg6BSNnNAo1P/y8 --registry-suffix=ESET --srt-field-trial-group-name=NewCleanerUIExperiment	01:10:18 p. m. 30/01/2020
   software_reporter_tool.exe		6504	Software Reporter Tool	Google	"c:\users\sdist.itam\appdata\local\google\chrome\user data\swreporter\77.227.200\software_reporter_tool.exe" --crash-handler "--database=c:\users\sdist.itam\appdata\local\Google\Software Reporter Tool" --url=https://clients2.google.com/cr/report --annotation=plat=Win32 --annotation=prod=ChromeFoil --annotation=ver=77.227.200 --initial-client-data=0x24c,0x23c,0x78,0x218,0x224,0x7ff7a26f27b8,0x7ff7a26f27c8,0x7ff7a26f27d8	01:10:18 p. m. 30/01/2020
   software_reporter_tool.exe	7.03	13360	Software Reporter Tool	Google	"c:\users\sdist.itam\appdata\local\google\chrome\user data\swreporter\77.227.200\software_reporter_tool.exe" --use-crash-handler-with-id="\\.\pipe\crashpad_11764_IQAIUSVOOKFOZSDO" --sandboxed-process-id=2 --init-done-notifier=816 --sandbox-mojo-pipe-token=15871719601246602307 --mojo-platform-channel-handle=760 --engine=2	01:10:18 p. m. 30/01/2020
   software_reporter_tool.exe		12080	Software Reporter Tool	Google	"c:\users\sdist.itam\appdata\local\google\chrome\user data\swreporter\77.227.200\software_reporter_tool.exe" --use-crash-handler-with-id="\\.\pipe\crashpad_11764_IQAIUSVOOKFOZSDO" --sandboxed-process-id=3 --init-done-notifier=1052 --sandbox-mojo-pipe-token=14591001865206160472 --mojo-platform-channel-handle=1048	01:10:18 p. m. 30/01/2020
  chrome.exe		10180	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1628,3630870343239176824,8464953519534961351,131072 --disable-databases --lang=es --enable-auto-reload --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=17135927274889782309 --renderer-client-id=22 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4724 /prefetch:1	01:10:37 p. m. 30/01/2020
  chrome.exe	0.01	4484	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1628,3630870343239176824,8464953519534961351,131072 --disable-databases --lang=es --extension-process --enable-auto-reload --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=553422307444547254 --renderer-client-id=23 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2948 /prefetch:1	01:10:37 p. m. 30/01/2020
  chrome.exe		7704	Google Chrome	Google LLC	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1628,3630870343239176824,8464953519534961351,131072 --disable-databases --lang=es --enable-auto-reload --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=7291899922778909748 --renderer-client-id=24 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3224 /prefetch:1	01:10:38 p. m. 30/01/2020
 procexp64.exe	1.71	14116	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	"C:\Sistemas Operativos\matAA\procexp64.exe" 	01:10:49 p. m. 30/01/2020
jusched.exe		11760	Java Update Scheduler	Oracle Corporation	"C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe" 	01:09:04 p. m. 30/01/2020
 jucheck.exe		5548	Java Update Checker	Oracle Corporation	"C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe" -auto	01:14:05 p. m. 30/01/2020
NSConnSvrUI.exe		11556	NetSupport gateway dll	NetSupport Ltd	"C:\Program Files (x86)\Common Files\NSL\Connectivity Server\NSConnSvrUI.exe" /HideUI	01:09:05 p. m. 30/01/2020
DSATray.exe	0.04	12068	Intel Driver & Support Assistant Tray	Intel	"C:\Program Files (x86)\Intel\Driver and Support Assistant\DSATray.exe" 	01:09:06 p. m. 30/01/2020
IAStorIcon.exe	0.02	4476	IAStorIcon	Intel Corporation	"C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorIcon.exe"	01:09:59 p. m. 30/01/2020
PrivacyIconClient.exe		14104	Intel(R) Management and Security Status	Intel Corporation	"C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IMSS\PrivacyIconClient.exe" -startup	01:12:04 p. m. 30/01/2020

